phase,actor,mean_sentiment_norm,mean_positive,mean_negative,n_sentences,source
P1,Syrian_Regime,-0.02486,0.196,0.429,1466,aljazeera
P1,HTS,-0.02327,0.251,0.599,486,aljazeera
P1,ISIS,-0.01329,0.271,0.475,59,aljazeera
P1,Russia,-0.01761,0.156,0.328,122,aljazeera
P1,Iran,-0.01363,0.245,0.349,106,aljazeera
P1,Syrian_Opposition,-0.01909,0.184,0.381,1177,aljazeera
P1,Turkey,-0.00354,0.138,0.184,239,aljazeera
P2,Syrian_Regime,-0.01796,0.23,0.4,5754,aljazeera
P2,HTS,-0.02002,0.218,0.554,1456,aljazeera
P2,ISIS,-0.01164,0.204,0.327,3165,aljazeera
P2,Russia,-0.00791,0.22,0.281,1768,aljazeera
P2,Iran,-0.00065,0.26,0.279,1090,aljazeera
P2,Syrian_Opposition,-0.01285,0.179,0.308,4635,aljazeera
P2,Turkey,-0.0124,0.149,0.266,1828,aljazeera
P3,Syrian_Regime,-0.01087,0.242,0.354,3619,aljazeera
P3,HTS,-0.024,0.226,0.55,1159,aljazeera
P3,ISIS,-0.00975,0.191,0.286,3122,aljazeera
P3,Russia,-0.00544,0.238,0.294,3151,aljazeera
P3,Iran,-0.00036,0.285,0.29,1494,aljazeera
P3,Syrian_Opposition,-0.01665,0.183,0.362,2189,aljazeera
P3,Turkey,-0.01257,0.196,0.327,3481,aljazeera
P4,Syrian_Regime,-0.02269,0.206,0.411,1744,aljazeera
P4,HTS,-0.01971,0.297,0.533,572,aljazeera
P4,ISIS,-0.01898,0.204,0.378,632,aljazeera
P4,Russia,-0.01321,0.203,0.34,1000,aljazeera
P4,Iran,-0.00774,0.253,0.348,759,aljazeera
P4,Syrian_Opposition,-0.01365,0.227,0.356,542,aljazeera
P4,Turkey,-0.02527,0.119,0.383,681,aljazeera
